id,b1
1697,0.3168184428096133
1767,0.6841556116292395
1837,0.21738004965312105
1907,0.15829000140933336
1977,
2047,0.13496937115239382
2117,0.13410555749695022
2187,0.2982445237538308
2257,0.6455413807605045
2327,0.909252159532447
2397,0.6887531569000428
2467,0.4870101290820627
2537,0.4579425272330337
2607,0.5096993134803681
2677,0.10205905300007817
2747,0.08234070250009888
2817,0.09726975538531928
2887,0.10109467043442973
2957,0.25877975724314833
3027,0.24928689128567375
3097,0.04833758692516141
3167,
3237,
13,
83,
153,
223,
293,
363,
433,
503,
573,
643,
713,0.18857380328623546
783,0.12430240152289031
853,0.37756063289272324
923,0.46175586939065116
993,0.6155796145178288
1063,0.22032153839972365
1133,0.24712521547749108
1203,0.16079466607796408
1273,0.44070975876322305
1343,0.38731596506246696
1413,0.2840007436706418
1483,0.5198583496267158
1553,0.23255899265391367
1623,0.4307002846683307
1693,0.6026260971962693
1763,0.15799812461631751
1833,0.0349417928400848
1903,0.5038203702462924
1973,1.0462114137614689
2043,0.6391244410072976
2113,0.3630277414921878
2183,0.43142304134531456
2253,0.26703786967210474
2323,0.23915989534883123
2393,0.015417685066429264
2463,0.01267152412032162
2533,0.1385484383746277
2603,0.8220801899774122
2673,0.5282694321572214
2743,0.4792433633925519
2813,0.33040108437118726
2883,0.43831868051337247
2953,1.013125429136547
3023,0.06560768773880996
3093,0.13764148178199803
3163,
3233,
9,
79,
149,
219,
289,
359,
429,0.1170739632940237
499,0.273707257429521
569,0.2826879718867265
639,0.24914320481819083
709,0.10895894252925968
779,0.31977441805294443
849,0.21746705033098013
919,0.32304339979041713
989,0.5827469111966281
1059,0.3102231934602049
1129,0.3915662141775836
1199,0.597304185473698
1269,0.37052999469870823
1339,0.7766662421312844
1409,0.36419636862542504
1479,0.6072884912942595
1549,0.3704040734346598
1619,0.5135017825713543
1689,0.6848411635716962
1759,0.738834404038151
1829,0.7098420481527368
1899,0.7142006303715441
1969,0.8942723217090911
2039,1.243757136148902
2109,0.6203346626532161
2179,0.17409763279334936
2249,0.10982391920889652
2319,0.4694686931053947
2389,0.24396690379930325
2459,0.15245627225899713
2529,0.08157641692692794
2599,0.24004373542286273
2669,0.29442100843875235
2739,0.6213947580895401
2809,1.2353041618723766
2879,0.6756595062529229
2949,0.13594575241305543
3019,0.2041463400749275
3089,
3159,
3229,
5,
75,
145,
215,
285,0.020816639525766623
355,0.014520580168411066
425,
495,
565,
635,0.16290505743706188
705,0.02571774311030854
775,
845,0.11753074676400074
915,0.19967853778503108
985,0.12000592827493635
1055,0.16002516425319332
1125,0.2004732724738163
1195,0.6553164267862541
1265,0.5081155083093827
1335,0.6531903931778785
1405,0.530471340618207
1475,0.2498942245862533
1545,0.7958186508864008
1615,0.2176204266290764
1685,0.6220867988148303
1755,0.9211961964968962
1825,0.7450425830092703
1895,0.8655259086908782
1965,0.5120133191431401
2035,0.5186057197224382
2105,0.5832381960444167
2175,0.4205914398017429
2245,0.3330197199485116
2315,0.5204209819479456
2385,0.7531525636635639
2455,0.5145833074188744
2525,0.5085252511930618
2595,0.7449960327861964
2665,0.4106168227712322
2735,
2805,
2875,
2945,
3015,
3085,
3155,
3225,
1,
71,
141,
211,
281,
351,0.031631605272716176
421,0.14931894674352963
491,0.2887626327705535
561,0.18499786898840845
631,0.11269571053863475
701,0.1256009148312442
771,0.11215619469379404
841,0.07135563385309154
911,0.05094386876502428
981,
1051,0.0
1121,0.041870634494867984
1191,0.12280068709276419
1261,0.23936376776528862
1331,0.24772150025488446
1401,0.1585360492122467
1471,0.20162871461239
1541,0.4746727090781724
1611,0.6078214716205202
1681,0.5344989243240956
1751,0.10522698638876334
1821,0.5645680956574348
1891,0.8082709300918897
1961,0.9081493191525345
2031,0.9081828315825587
2101,0.5019977268769984
2171,0.28551972298247275
2241,0.3354525748526129
2311,0.42450899869811115
2381,0.3106904103750198
2451,0.3833694433557022
2521,0.7370622482982794
2591,0.41783954744280066
2661,0.4958636863921158
2731,
2801,
2871,
2941,
3011,
3081,
3151,
3221,
67,
137,
207,
277,
347,0.31037215902968235
417,
487,
557,0.0
627,
697,
767,
837,
907,
977,
1047,
1117,
1187,
1257,
1327,
1397,
1467,
1537,
1607,
1677,
1747,
1817,
1887,
1957,0.028495467947298347
2027,
2097,
2167,
2237,
2307,
2377,
2447,
2517,
2587,
2657,0.00900876384234065
2727,
2797,
2867,0.0
2937,0.0
3007,0.025446429996354724
3077,0.2683642910202231
3147,
3217,1.0820157816600617
63,
133,0.46950562808788016
203,0.2683052637747008
273,0.7257177287996928
343,0.6228579372008856
413,0.6246746792410522
483,0.27168724455174137
553,0.09603207126926491
623,0.4051819821431578
693,0.3554564710179525
763,0.12235746732985632
833,
903,
973,
1043,
1113,
1183,
1253,
1323,
1393,
1463,
1533,
1603,
1673,
1743,
1813,0.10242345520090004
1883,0.19464780140204552
1953,0.22219209969521223
2023,0.4437755627582571
2093,0.42517907459003657
2163,
2233,
2303,
2373,
2443,0.0
2513,0.16304797306570737
2583,0.45081761672894627
2653,0.26579770589461044
2723,0.2463755588616658
2793,0.1224126811859209
2863,0.0
2933,0.1197814890360415
3003,0.7426668774912517
3073,0.27149654805415824
3143,0.5074596417769941
3213,0.2358861615642479
59,
129,0.5104465363016932
199,0.439499937557176
269,0.4320703073575915
339,0.5175647863996035
409,0.39608956424692016
479,0.06462332827117014
549,0.054120565662964186
619,0.4092886675087369
689,0.8545548502067001
759,0.7554784711588423
829,0.4094916961546601
899,
969,
1039,0.5538917459618377
1109,0.39181530813711046
1179,
1249,
1319,
1389,
1459,0.08096415327564895
1529,0.44447734062371747
1599,0.4689387299089418
1669,
1739,
1809,
1879,
1949,
2019,0.3342559724478639
2089,0.6397232402781473
2159,0.3172650025261213
2229,
2299,0.10563542675187369
2369,0.4983839940803599
2439,0.19631955488100294
2509,0.9878137593615729
2579,0.34788772870623597
2649,0.595310903120793
2719,0.6567609372327293
2789,0.6785557426484826
2859,0.0030198090424750678
2929,0.6345672061148662
2999,0.7558560553965469
3069,0.2790990664012368
