id,agbd
3085,48.44642857142857
3155,54.51086956521739
3225,52.38028169014085
1,43.11628574378536
71,37.685307589247415
141,40.0
211,
281,
351,38.53333333333333
421,51.35957381224292
491,75.406692138912
561,75.44881889763779
631,54.55296772579274
701,51.21184076839096
771,54.68228405987741
841,51.283880034888625
911,
981,
1051,
1121,38.12719397852253
1191,78.61552490561898
1261,107.58021943933049
1331,115.5411633820725
1401,76.46728971962617
1471,70.52380952380952
1541,123.45128301611965
1611,87.1898863550255
1681,75.4176812430967
1751,62.498338870431894
1821,147.51897291349871
1891,155.4934160328175
1961,139.50136588063356
2031,123.51885000118627
2101,133.6130041591941
2171,115.58473167437269
2241,93.5703125
2311,109.59910913140311
2381,101.52725393034116
2451,87.36367672159756
2521,129.5233179237826
2591,118.53953488372093
2661,129.42120343839542
2731,131.60242428541946
2801,113.53086419753086
2871,99.43875145958569
2941,99.58444588807721
3011,59.2940862062985
3081,100.45640922169977
3151,126.49025974025975
3221,110.5
67,
137,
207,
277,
347,37.341789833323894
417,
487,
557,
627,
697,
767,25.666666666666668
837,13.31842105263158
907,18.561576354679804
977,24.459546925566343
1047,18.538834951456312
1117,16.378205128205128
1187,17.391631075309512
1257,12.501707144237582
1327,9.935032894736842
1397,10.76233026330134
1467,18.0
1537,14.458986886088969
1607,13.4281519269516
1677,11.0
1747,
1817,
1887,
1957,34.59090909090909
2027,
2097,
2167,
2237,
2307,
2377,
2447,
2517,
2587,
2657,42.0
2727,
2797,
2867,
2937,10.0
3007,37.0
3077,46.49295774647887
3147,
3217,33.32258064516129
63,
133,43.14841164386618
203,10.834961341159373
273,51.3539884234093
343,42.487883836142615
413,51.282941995735065
483,43.23726923009363
553,19.04273818579323
623,35.265934332100905
693,35.29716534928091
763,14.0
833,
903,
973,
1043,
1113,
1183,
1253,
1323,
1393,
1463,
1533,
1603,
1673,
1743,
1813,30.529411764705884
1883,33.2027300842487
1953,43.255700452912706
2023,59.536223213314486
2093,75.53239436619718
2163,
2233,
2303,
2373,
2443,15.5
2513,34.47727272727273
2583,54.94411184996596
2653,45.425612371967475
2723,35.17225435285523
2793,40.490566037735846
2863,
2933,27.0
3003,37.45040662213186
3073,43.370946357182724
3143,43.39235598583272
3213,22.799658981191243
59,
129,54.69244099647976
199,43.259353040569124
269,38.19789581998971
339,37.912287410302525
409,38.475005733543846
479,12.529777854611464
549,10.21745189269043
619,33.49000203201944
689,45.43717728055078
759,49.42819007706991
829,43.150442477876105
