id,agbd
2047,36.994160490032804
2117,31.075379117182727
2187,54.71167702519841
2257,124.67081866537347
2327,133.03949304402138
2397,114.83682789410932
2467,124.3068595601733
2537,100.50052132834463
2607,93.05997803445777
2677,58.249139785676
2747,66.38692056698238
2817,70.06974097050467
2887,60.48193453452748
2957,113.28100417561737
3027,79.66088608212084
3097,96.6777700922688
3167,
3237,
13,
83,
153,
223,
293,
363,
433,
503,
573,
643,
713,81.55594382874264
783,94.77939980776438
853,106.60087104090209
923,122.37285006257586
993,135.48702836586864
1063,94.0458344101506
1133,113.91592194523811
1203,99.27440889855085
1273,118.33453403117667
1343,123.01169930748985
1413,97.23089009857289
1483,152.1611979535754
1553,125.6814757742216
1623,127.70435030766687
1693,122.80480384913325
1763,113.51333851152381
1833,52.24832325014901
1903,90.99919359935177
1973,183.79430201060433
2043,148.40282556537198
2113,125.70057284092226
2183,147.94782954930534
2253,121.49868069766579
2323,119.76679151653073
2393,54.42740413308554
2463,48.535135135135135
2533,93.20927590562732
2603,180.50170573667174
2673,169.8524368786839
2743,137.70143880586807
2813,165.98278658773344
2883,153.33467750807498
2953,175.15219314085599
3023,74.19910492134278
3093,41.036775062841095
3163,57.40210175406612
3233,34.03764308776049
9,
79,
149,
219,
289,
359,
429,57.962814955296665
499,98.40278247364591
569,97.48912067704441
639,94.83303031860024
709,148.5767559036582
779,145.29971326675422
849,103.93735678687908
919,123.2738397985981
989,116.86308534605972
1059,139.5422488830346
1129,127.8600612422976
1199,144.70830580700272
1269,182.30789661062724
1339,172.22394739053703
1409,148.92173133854976
1479,178.27377661685745
1549,172.74722678110703
1619,178.89199997193714
1689,179.5957840560261
1759,178.92398456934887
1829,179.97595936643935
1899,162.9315209047098
1969,183.9206792548145
2039,172.07097575797556
2109,146.27113041011182
2179,107.54842731914654
2249,85.95458353569094
2319,121.70761810356913
2389,120.6165803946812
2459,96.84985598492393
2529,86.39092417190578
2599,88.1714811604984
2669,117.13098893901906
2739,110.7659228671956
2809,175.13293935831263
2879,191.29683689855318
2949,132.03872163414033
3019,66.61527263236316
3089,60.660346832198556
3159,44.90141917019716
3229,48.25760608837244
5,
75,
145,
